|0000|017|0|01042023|30042023|FM MODEL TRANSPORTES LTDA|05367368000106||SP|387251936115|3523909|31176||A|1|
|0001|0|
|0005|FM MODEL TRANSPORTES|13304970|RODOVIA HILARIO FERRARI|1900||PEDREGULHO|19998670214||paulogarcia.quality@yahoo.com.br|
|0100|JOSE PAULO MARTINS GARCIA|61529877768|1SP144041O2||13140216|RUA TAPAIUNAS|189||JARDIM ITAPOAN|19998670214||paulogarcia.quality@yahoo.com.br|3536505|
|0150|CLI000000002|EUCATEX INDUSTRIA E COMERCIO LTDA.|1058|14675270000450||600069238116|3545209||RUA RIBEIRAO PRETO|809||JARDIM MARILIA|
|0150|CLI000000027|BRAMAM COMERCIO BEBIDAS LTDA|1058|14991844000237||153614900|1503606||ROD TRANSAMAZONICA|S/N|KM6 LT617|MESQUITAS|
|0150|CLI000000032|MINERACAO DARDANELOS LTDA|1058|03686720000221||137266189|5101407||ESTRADA DO PORAQUE|10||SERRA DO EXPEDITO|
|0150|CLI000000037|SANTABIER DISTRIBUIDORA BEBIDAS LTDA|1058|03485319000142||152081518|1506807||AVENIDA ENGENHEIRO FERNANDO GUILHON|1781|SL 1|SANTARENZINHO|
|0150|CLI000000043|IADLOG SERVICOS LOGISTICOS LTDA|1058|28369679000100||118381629116|3550308||RUA SARGENTO JETER AUGUSTO PEREIRA|30||PA NOVO MUNDO|
|0150|CLI000000049|SR EMBALAGENS PLASTICAS LTDA|1058|50418557000115||204031152110|3505500||AVENIDA MARIO DE OLIVEIRA|600||DISTRITO INDUSTRIAL II|
|0150|CLI000000050|DISBEV DISTRIBUIDORA DE BEBIDAS - COLIDER LTDA|1058|45804241000121||139298428|5103205||ROD MT 320 KM33 33|S/N||SETOR INDUSTRIAL|
|0150|CLI000000051|DISBEV DISTRIBUIDORA DE BEBIDAS - TANGARA LTDA|1058|32934008000111||137573413|5107958||AV. INACIO BITTENCOURT CARDOSO|4010||CHACARA|
|0150|FOR000000003|BRASPRESS TRANSPORTES URGENTES LTDA|1058|48740351005477||582695554112|3543402||ANTONIO PALOCCI|66||JD O BRANCO|
|0150|FOR000000007|BRASPRESS TRANSPORTES URGENTES LTDA|1058|48740351011523||795074476118|3509502||RICARDO DIAS ALVES|311|ANEXO 381|TERMINAL INTERMODAL DE CARGAS|
|0150|FOR000000008|BRASPRESS TRANSPORTES URGENTES LTDA|1058|48740351012414||146144335110|3550308||SAMUEL LUCAS|233|LT URB, FD|JD JULIETA|
|0150|FOR000000017|VIEIRA E PIZZOLI VIEIRA LTDA|1058|10737595000388||154543519|1508050||RODOVIA BR 163 KM 1.348|S/N||COMUNIDADE BELA VISTA DO CARACOL|
|0150|FOR000000018|VIEIRA E PIZZOLI VIEIRA LTDA|1058|10737595000540||155824287|1503606||RODOVIA TRANSAMAZONIA KM 08|S/N||ZONA RURAL|
|0150|FOR000000019|POSTO TREVAO CACHOEIRA DA SERRA LTDA|1058|12852447000178||153200049|1500602||ROD BR 163 KM 895|S/N||CACHOEIRA DA SERRA|
|0150|FOR000000030|POSTO ALDO ITAITUBA KM 30 COMERCIO DE COMBUSTIVEIS LTDA|1058|30079828000148||155984039|1503606||R SEM DENOMINACAO|1|KM 30|ITAITUBA|
|0150|FOR000000065|POSTO CAXUXA MGM LTDA|1058|01930849000127||7016835560070|3170107||ROD BR 050 KM 184, 184|184||JD SANTA CLARA|
|0150|FOR000000067|SOMAFERTIL CAMINHOES LTDA|1058|18451455000350||0030735230005|3170206||AVENIDA JOSE ANDRAUS GASSANI|10|QD 89 LT12 A|MINAS GERAIS|
|0150|FOR000000080|HIPER TRUCK PARTS COMERCIO AUTOMOTIVO EIRELI - EPP|1058|32982651000382||083746650|3201308||AVENIDA GIRASSOL|362||PORTO DE CARIACICA|
|0150|FOR000000083|Capivara Freios, Pecas e Serv. Ltda|1058|00170293000155||253022108119|3510401||RUA BARAO DE MARAU|75||RIBEIRAO|
|0150|FOR000000086|LAPONIA SUDESTE LTDA|1058|04422548000180||387307764110|3523909||RODOVIA PRESIDENTE CASTELO BRANCO|S/N|KM    75|CITY CASTELLO|
|0150|FOR000000088|AUTO GERAL AUTOPECAS LTDA|1058|05437537000137||387034155115|3523909||AV. DR. OCTAVIANO PEREIRA MENDES|1333||Centro|
|0150|FOR000000090|VANDA COLACO FAVARELLI & CIA|1058|06995388000194||600121860111|3545209||RUA FLORIANO PEIXOTO, 2634|2634||JD. DAS NACOES|
|0150|FOR000000091|POSTO ALDO CUBATAO LTDA - ME|1058|07126651000171||283110307110|3513504||AVENIDA ENG PLINIO DE QUEIROZ|S/N|LOTE 07|JD INDUSTRIAL|
|0150|FOR000000092|GAS E SOLDA EIRELI - ME|1058|08528947000181||669574702117|3552205||AV. SAO PAULO (GALPAO 2)|2981||ALEM PONTE|
|0150|FOR000000093|C. DIESEL PARTS COMERCIO DE AUTO PECAS LTDA - ME|1058|08793371000180||535940644118|3538709||AVENIDA 31 DE MARCO|1780|-|PAULICEIA|
|0150|FOR000000094|FW DISTRIBUIDORA LTDA|1058|08897417000291||244753530118|3509502||Rua Altino Arantes|1250||Jd. do Lago II|
|0150|FOR000000097|JACQUELINE GOMES INFANTE PECAS E ACESSORIOS EPP|1058|13390096000193||669402619110|3552205||RUA ATANAZIO SOARES|2472||VILA FORMOSA|
|0150|FOR000000098|MACPONTA CAMINHOES LTDA|1058|16671210000303||219063941118|3507001||AVENIDA ZELIA DE LIMA ROSA|2100||PARQUE INDUSTRIAL|
|0150|FOR000000099|DAIANE MICHELE VIEIRA DE SOUZA ME|1058|18285360000142||600079508116|3545209||RUA ANTURIO|369||JARDIM INDEPENDENCIA|
|0150|FOR000000101|IMPERIO PECAS AUTOMOTIVAS RP EIRELI|1058|20812769000111||797071794115|3543402||RUA DR HUGO FORTES,|900||LAGOINHA|
|0150|FOR000000102|AUTO POSTO NOVO AGUA LIMPA LTDA|1058|36253629000190||204271669113|3505500||RODOVIA BRIGADEIRO FARIA LIMA|S/N|KM 447 MAIS 30 METRO|ZONA RURAL|
|0150|FOR000000106|COMERCIAL DE PARAFUSOS SALTENSE LTDA|1058|48984686000129||600010233114|3545209||RUA 9 DE JULHO|818||CENTRO|
|0150|FOR000000107|TACOVEL INSTRUMENTOS DE PRECISAO LTDA|1058|54455373000267||387120600117|3523909||AV CAETANO RUGGIERI|3399||PARQUE N.SRA DA CANDELARIA|
|0150|FOR000000110|MULTIEIXO IMPLEMENTOS RODOVIARIOS LTDA|1058|58507468000904||336856803118|3518800||RUA LUIZ RODRIGUES DE FREITAS 132|132||VL ROSA MINELIA|
