|0000|017|0|01012023|31012023|FM MODEL TRANSPORTES LTDA|05367368000106||SP|387251936115|3523909|31176||A|1|
|0001|0|
|0005|FM MODEL TRANSPORTES|13304970|RODOVIA HILARIO FERRARI|1900||PEDREGULHO|19998670214||paulogarcia.quality@yahoo.com.br|
|0100|JOSE PAULO MARTINS GARCIA|61529877768|1SP144041O2||13140216|RUA TAPAIUNAS|189||JARDIM ITAPOAN|19998670214||paulogarcia.quality@yahoo.com.br|3536505|
|0150|CLI000000002|EUCATEX INDUSTRIA E COMERCIO LTDA.|1058|14675270000450||600069238116|3545209||RUA RIBEIRAO PRETO|809||JARDIM MARILIA|
|0150|CLI000000027|BRAMAM COMERCIO BEBIDAS LTDA|1058|14991844000237||153614900|1503606||ROD TRANSAMAZONICA|S/N||MESQUITAS|
|0150|CLI000000029|NEXA RECURSOS MINERAIS S.A|1058|42416651000107||3672198830370|3169356||ROD BH BRASILIA BR 040 KM 284 5|S/N||CMM|
|0150|CLI000000031|NEXA RECURSOS MINERAIS SA|1058|42416651000883||3672198830036|3136702||ROD BR 267 KM 119|S/N||IGREJINHA|
|0150|CLI000000032|MINERACAO DARDANELOS LTDA|1058|03686720000221||137266189|5101407||ESTRADA DO PORAQUE|10||SERRA DO EXPEDITO|
|0150|FOR000000003|BRASPRESS TRANSPORTES URGENTES LTDA|1058|48740351005477||582695554112|3543402||ANTONIO PALOCCI|66||JD O BRANCO|
|0150|FOR000000008|BRASPRESS TRANSPORTES URGENTES LTDA|1058|48740351012414||146144335110|3550308||SAMUEL LUCAS|233|LT URB, FD|JD JULIETA|
|0150|FOR000000013|E. M. ASSUMPCAO - EIRELI - EPP|1058|23027324000119||154957739|1504208||R A (KM 7 Q 01 A Q 17 NORTE) AV DAS TORR|S/N||NOVA MARABA|
|0150|FOR000000016|PETRO CENTER COM DERIV DE PETROLEO LTDA|1058|08713905000110||153132426|1502954||RUA CHACARA SETOR 05 KM 525|S/N||NOVO|
|0150|FOR000000017|VIEIRA E PIZZOLI VIEIRA LTDA|1058|10737595000388||154543519|1508050||RODOVIA BR 163 KM 1.348|S/N||COMUNIDADE BELA VISTA DO CARACOL|
|0150|FOR000000018|VIEIRA E PIZZOLI VIEIRA LTDA|1058|10737595000540||155824287|1503606||RODOVIA TRANSAMAZONIA KM 08|S/N||ZONA RURAL|
